type	from_id	from_name	post_message	picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes	likes_count_fb	comments_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Segue o baile!	https://external.xx.fbcdn.net/safe_image.php?d=AQDuFOpJlm5-6Y05&w=130&h=130&url=https%3A%2F%2Favozdocoroado.files.wordpress.com%2F2015%2F12%2Fmoscatelli1.png&cfs=1	https://avozdocoroado.wordpress.com/2015/12/20/crime-ambiental-em-itaoca/	avozdocoroado.wordpress.com	2015-12-20T16:44:07+0000	1450629847	2015-12-20 17:44:07	0	0	0	0	0	0	0	0	0	1645390789044342_1651857625064325	https://www.facebook.com/groups/1645390789044342/permalink/1651857625064325/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075		https://external.xx.fbcdn.net/safe_image.php?d=AQAVwUXEyhVKRSBf&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FJWIvTC33Phk%2Fhqdefault.jpg&cfs=1&sx=27&sy=0&sw=360&sh=360	https://youtu.be/JWIvTC33Phk	youtu.be	2015-12-19T21:07:51+0000	1450559271	2015-12-19 22:07:51	2	2	1	1	1	0	0	1	4	1645390789044342_1651533118430109	https://www.facebook.com/groups/1645390789044342/permalink/1651533118430109/
video	2120e46d1b9ccc0e3fc91a51b868cd61fe9ecfb6	775d7d4e28f960995942bb80dd3864b19fdd538b	Lembrando de um belo trabalho 		http://baobaxia.mocambos.net/media/mocambos/abdias/video/15/05/10/materia-tvb-rede-mocambos-uma-nova-forma-de-promover-a-comun-486da.webm	baobaxia.mocambos.net	2015-12-19T13:06:29+0000	1450530389	2015-12-19 14:06:29	2	3	0	0	0	0	0	0	2	1645390789044342_1651411038442317	https://www.facebook.com/groups/1645390789044342/permalink/1651411038442317/
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Inovação Cidadã: transporte_ playground_ parque de diversões e paintball_ gta_ CS...	https://external.xx.fbcdn.net/safe_image.php?d=AQBVm4OKBm9u0RAB&w=130&h=130&url=http%3A%2F%2Fextra.globo.com%2Fincoming%2F18333992-e00-30a%2Fw976h550%2Fonibus2-.jpg&cfs=1&l	http://glo.bo/1YrSeKF	glo.bo	2015-12-19T12:19:45+0000	1450527585	2015-12-19 13:19:45	1	1	0	0	0	0	0	0	1	1645390789044342_1651402941776460	https://www.facebook.com/groups/1645390789044342/permalink/1651402941776460/
link	3a6d7f19de7db3e8155fb78901bc9e97f89eb2b5	afe6e1ebcab2d359d26627e7de7d068eac419e77	Los gallinazos y las cámaras GoPro alertan sobre la acumulación de basura	https://external.xx.fbcdn.net/safe_image.php?d=AQAffeta9yyjKh0R&w=130&h=130&url=http%3A%2F%2Flamula.pe%2Fmedia%2Fuploads%2Fe225c5a8-00aa-4aef-8738-1f5b79a1261c.jpg&cfs=1	http://ow.ly/W5k3T	ow.ly	2015-12-18T21:35:14+0000	1450474514	2015-12-18 22:35:14	1	2	0	0	0	0	0	0	1	1645390789044342_1651266731790081	https://www.facebook.com/groups/1645390789044342/permalink/1651266731790081/
link	12c94016cb79d2bb445d03a9584bf6f9db1ca793	b1a7cce0e24069e82dcc34061a8df50efcf287fc	Prefeitura inaugura primeiro Fab Lab Equipamento em Cidade Tiradentes oferece a estudantes acesso a máquinas de produção digital_ como impressoras 3D para desenvolver protótipos de novos produtos. Até março_ serão 12 em operação	https://external.xx.fbcdn.net/safe_image.php?d=AQBnVKRssM4KrK9U&w=130&h=130&url=http%3A%2F%2Fwww.capital.sp.gov.br%2Fstatic%2F2015%2F12%2F_LuntwhTCCocxDNxzaB9RA.jpg&cfs=1&sx=145&sy=0&sw=600&sh=600	http://www.capital.sp.gov.br/portal/noticia/9376#ad-image-0	capital.sp.gov.br	2015-12-18T19:09:40+0000	1450465780	2015-12-18 20:09:40	8	9	3	3	3	0	0	2	13	1645390789044342_1651248531791901	https://www.facebook.com/groups/1645390789044342/permalink/1651248531791901/
photo	bc41155588fca8cbd400c86ae6f87ef2bc43f4d5	5fc080d7ed227263466d8aec3fe4a9fa05749780	Jardins suspensos da babilônia! Yeahhhh	https://scontent.xx.fbcdn.net/hphotos-xpt1/v/t1.0-0/s130x130/12314037_981108265288769_5260321414722174318_n.jpg?oh=140f24c6c8610752337e73ec7269ef29&oe=56D460A0	https://www.facebook.com/photo.php?fbid=981108265288769&set=gm.1647523208831100&type=3	facebook.com	2015-12-04T13:04:49+0000	1449234289	2015-12-04 14:04:49	38	38	3	3	3	0	4	3	48	1645390789044342_1647523208831100	https://www.facebook.com/groups/1645390789044342/permalink/1647523208831100/
link	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	lembrei do aprender brincando_ Rogério Santana Lourenço_ Fernando Gularte_ Josefina Jiménez	https://external.xx.fbcdn.net/safe_image.php?d=AQCdlXvSHZZg5jt8&w=130&h=130&url=http%3A%2F%2Fwww.redeangola.info%2Fwp-content%2Fuploads%2F2015%2F10%2Finfo-desenhos-sona-capa.png&cfs=1	http://www.redeangola.info/multimedia/arte-de-contar-historias-em-desenhos/	redeangola.info	2015-12-18T10:13:16+0000	1450433596	2015-12-18 11:13:16	10	11	1	0	0	0	0	0	10	1645390789044342_1651157195134368	https://www.facebook.com/groups/1645390789044342/permalink/1651157195134368/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075					2015-12-18T00:35:28+0000	1450398928	2015-12-18 01:35:28	2	2	1	1	1	0	0	0	3	1645390789044342_1650999755150112	https://www.facebook.com/groups/1645390789044342/permalink/1650999755150112/
status	682ccadbd2c09e3fe5d04724f01f6ed8fd37d03f	5a79cd7bc664ad7ec29490b5a35384045f5c32ce	Hola amigos! pienso que es absurdo tener dos grupos de labic pues estamos duplicando esfuerzos y creando mucha confusión. sugiero que los que nos estén ya se unan al grupo red labic https://www.facebook.com/groups/1518503228406550/?fref=ts y quede solamente un grupo.......... o que piensan?				2015-12-17T16:44:59+0000	1450370699	2015-12-17 17:44:59	6	7	11	8	7	1	0	4	18	1645390789044342_1650924688490952	https://www.facebook.com/groups/1645390789044342/permalink/1650924688490952/
link	8408ddaef89f6e23ae0865b329edaf2959d55d4f	0668a9bee3a8dba74efd43939be11008af191bcb	Les dejo la Mochila 	https://external.xx.fbcdn.net/safe_image.php?d=AQD0LKQjJBqrpwww&w=130&h=130&url=https%3A%2F%2Fayaita.files.wordpress.com%2F2015%2F12%2Flogo-mochila.png&cfs=1	https://ayaita.wordpress.com/2015/12/17/proyecto-la-mochila-imagenes-digitales-de-panama-para-uso-academico/	ayaita.wordpress.com	2015-12-17T22:25:39+0000	1450391139	2015-12-17 23:25:39	4	4	0	0	0	0	1	0	5	1645390789044342_1650982311818523	https://www.facebook.com/groups/1645390789044342/permalink/1650982311818523/
status	b03e5deb551c6ebec5eaca68ead00b16ff56a42d	6d8381c84c4ed0c9fbab7ccc81b34ba656aed069	Misterio Basurama				2015-12-17T21:14:52+0000	1450386892	2015-12-17 22:14:52	10	10	1	1	1	0	0	0	11	1645390789044342_1650970485153039	https://www.facebook.com/groups/1645390789044342/permalink/1650970485153039/
link	43d83941173cf572912aae6fa0cacfa2cce9176b	dd8a3764099e682862a81c667512cb07eb0f206d	Estoy subiendo los correos_ nombres_ especialidad y grupo_ en un doc de google (por ahora) 	https://external.xx.fbcdn.net/safe_image.php?d=AQA1RU_uMiABjvy2&w=130&h=130&url=https%3A%2F%2Fssl.gstatic.com%2Fdocs%2Fspreadsheets%2Fspinner.gif&cfs=1	https://docs.google.com/spreadsheets/d/17LgIxpKbLos-7v5K5-4eekfg4RUeSa1Yh7PKutu2Fqs/edit?usp=sharing	docs.google.com	2015-12-11T16:23:16+0000	1449850996	2015-12-11 17:23:16	10	10	13	13	13	0	0	6	29	1645390789044342_1649363771980377	https://www.facebook.com/groups/1645390789044342/permalink/1649363771980377/
link	ce5ade29dd90143c3ea8153e9e09c6c19425b494	ba5b4e1f0057bf0f8f6f95cd843bc320e077287c	Bom galera a ver TV - perdón TED! 	https://external.xx.fbcdn.net/safe_image.php?d=AQCN80m30hy83ffh&w=130&h=130&url=https%3A%2F%2Ftedcdnpi-a.akamaihd.net%2Fr%2Ftedcdnpe-a.akamaihd.net%2Fimages%2Fted%2Fd538403350630eeaf965325257caf869350a9832_1600x1200.jpg%3Fc%3D1050%252C550%26w%3D1050&cfs=1&sx=314&sy=0&sw=550&sh=550	https://www.ted.com/talks/john_maeda_how_art_technology_and_design_inform_creative_leaders	ted.com	2015-12-17T16:41:55+0000	1450370515	2015-12-17 17:41:55	1	2	0	0	0	0	1	0	2	1645390789044342_1650923118491109	https://www.facebook.com/groups/1645390789044342/permalink/1650923118491109/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075		https://external.xx.fbcdn.net/safe_image.php?d=AQD49NBSiVQ6gVUx&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FIu3OLnQvl-g%2Fhqdefault.jpg&cfs=1&sx=55&sy=0&sw=360&sh=360	https://youtu.be/Iu3OLnQvl-g	youtu.be	2015-12-17T14:30:00+0000	1450362600	2015-12-17 15:30:00	0	0	0	0	0	0	0	0	0	1645390789044342_1650897888493632	https://www.facebook.com/groups/1645390789044342/permalink/1650897888493632/
photo	78e439ea167e0bdbf519903ff194d5382173644b	6e6ea31ad649f9b750e86fc53d9abeebc90ed7dc	Vitor Grilo shared Oi Futuro_s photo to the group: Labicbr paralelo.	https://scontent.xx.fbcdn.net/hphotos-xpl1/v/l/t1.0-0/s130x130/12341348_1219647148048619_6067417566047579458_n.jpg?oh=4925b559b6f9b34b5e399d979338f668&oe=56D4E01B	https://www.facebook.com/InstitutoOiFuturo/photos/a.191212477558763.56919.180409628639048/1219647148048619/?type=3	facebook.com	2015-12-17T04:00:35+0000	1450324835	2015-12-17 05:00:35	4	4	1	1	1	0	0	1	6	1645390789044342_1650729985177089	https://www.facebook.com/groups/1645390789044342/permalink/1650729985177089/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Jah ble$$!	https://external.xx.fbcdn.net/safe_image.php?d=AQCq59jMUZKOta0q&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FPGqOkkrAQ-E%2Fhqdefault.jpg&cfs=1	https://youtu.be/PGqOkkrAQ-E	youtu.be	2015-12-17T12:48:35+0000	1450356515	2015-12-17 13:48:35	0	0	0	0	0	0	0	0	0	1645390789044342_1650878448495576	https://www.facebook.com/groups/1645390789044342/permalink/1650878448495576/
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Kkkkkkkkkkkkk	https://external.xx.fbcdn.net/safe_image.php?d=AQCbaRkl3fEc8sYu&w=130&h=130&url=https%3A%2F%2Fscontent-mia1-1.xx.fbcdn.net%2Fhphotos-xpf1%2Fv%2Ft1.0-9%2F12342614_1119765421389740_3108750534583809294_n.jpg%3Foh%3Da385bee7fd2775a46d6fe3a80416a44b%26oe%3D5719A711&cfs=1	http://glo.bo/1P7XGjl	glo.bo	2015-12-17T03:52:05+0000	1450324325	2015-12-17 04:52:05	0	0	0	0	0	0	0	0	0	1645390789044342_1650728865177201	https://www.facebook.com/groups/1645390789044342/permalink/1650728865177201/
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075		https://external.xx.fbcdn.net/safe_image.php?d=AQDmMpwz1aszftRl&w=130&h=130&url=http%3A%2F%2Fwww.adnews.com.br%2Fpublic%2Fimg%2Fnoticias%2Fnovas%2Fadnews-5779186571450299036c46eaf6e0f2400e1a0c7db1c8a28f422f504b17f.jpeg&cfs=1	http://bit.ly/1RSycZR	bit.ly	2015-12-16T21:30:40+0000	1450301440	2015-12-16 22:30:40	2	2	1	1	1	0	0	2	5	1645390789044342_1650676888515732	https://www.facebook.com/groups/1645390789044342/permalink/1650676888515732/
link	2120e46d1b9ccc0e3fc91a51b868cd61fe9ecfb6	775d7d4e28f960995942bb80dd3864b19fdd538b	Radio labic voltou. Muitos bugs ajustados_ alguns ainda nas fissuras. Hoje só para maiores de 18 anos. Um pouco da multiplicidade do Funk 		http://giss.tv:8000/radiolabic.ogg	giss.tv:8000	2015-12-16T23:49:28+0000	1450309768	2015-12-17 00:49:28	11	12	7	7	4	3	0	2	20	1645390789044342_1650694581847296	https://www.facebook.com/groups/1645390789044342/permalink/1650694581847296/
video	c89f9b707fa29d407d7c53dcd2e3345ad850d462	09b6c1cabf82b678ed2a66e8c2b4fd6071ae9eac	Mari Solaris shared Deccan Chronicle_s video to the group: Labicbr paralelo.	https://scontent.xx.fbcdn.net/hvthumb-xfa1/v/t15.0-10/s130x130/11413591_10153827646562160_1800058326_n.jpg?oh=b7226d3ad110dab30ec72aedf855a626&oe=56DA581F	https://www.facebook.com/deccannews/videos/10153827640632160/	facebook.com	2015-12-16T21:43:57+0000	1450302237	2015-12-16 22:43:57	1	1	0	0	0	0	0	0	1	1645390789044342_1650678541848900	https://www.facebook.com/groups/1645390789044342/permalink/1650678541848900/
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Seguro que si	https://external.xx.fbcdn.net/safe_image.php?d=AQC0PNKZfqjOg4Wk&w=130&h=130&url=http%3A%2F%2Fwww.adnews.com.br%2Fpublic%2Fimg%2Fnoticias%2Fnovas%2Fadnews-73220501450281920e88e663296f80e336af1c94c0799fdc6996a46c9.jpeg&cfs=1	http://bit.ly/1lPU6ks	bit.ly	2015-12-16T18:05:55+0000	1450289155	2015-12-16 19:05:55	0	0	0	0	0	0	0	0	0	1645390789044342_1650641871852567	https://www.facebook.com/groups/1645390789044342/permalink/1650641871852567/
video	88c2c980a730e11430ac707eced3aef0707a0497	9d084f371795cea294e0e49ac71d7f07a87991b0	Hola_ amigxs_ lanzamos en la madrugada de hoy el Manual Básico de Juegos Con Neumáticos_ un video para compartir la experiencia de Plaza : Instrucciones de Uso en Labicbr =D  Esperamos que lo disfruten!!	https://external.xx.fbcdn.net/safe_image.php?d=AQCMZiWW3eNJkedp&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FrrJaLVGiYUI%2Fmaxresdefault.jpg&cfs=1	https://youtu.be/rrJaLVGiYUI	youtu.be	2015-12-16T14:50:51+0000	1450277451	2015-12-16 15:50:51	21	21	1	1	1	0	1	0	23	1645390789044342_1650607785189309	https://www.facebook.com/groups/1645390789044342/permalink/1650607785189309/
video	ef2353565ec884ae261cdff4197f26b01194fd39	82fc36bdce6c1ecfb711b6477b5674f70198c30d	compartilho recém-descoberta-abençoada: 	https://external.xx.fbcdn.net/safe_image.php?d=AQDBxiH79IjNDzwy&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FffCibxUg2JM%2Fmaxresdefault.jpg&cfs=1&sx=388&sy=0&sw=1080&sh=1080	https://www.youtube.com/watch?v=ffCibxUg2JM	youtube.com	2015-12-15T15:56:05+0000	1450194965	2015-12-15 16:56:05	9	9	5	5	5	0	1	0	15	1645390789044342_1650376451879109	https://www.facebook.com/groups/1645390789044342/permalink/1650376451879109/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Eu podia estar roubando_ podia estar matando mas to só avisando!!!	https://external.xx.fbcdn.net/safe_image.php?d=AQDOj_wiwie5cW1_&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FwgMgoJV_AmU%2Fhqdefault.jpg&cfs=1	https://youtu.be/wgMgoJV_AmU	youtu.be	2015-12-16T05:16:56+0000	1450243016	2015-12-16 06:16:56	1	1	0	0	0	0	0	0	1	1645390789044342_1650510528532368	https://www.facebook.com/groups/1645390789044342/permalink/1650510528532368/
link	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	#Vem	https://scontent.xx.fbcdn.net/hprofile-xfl1/v/t1.0-1/p200x200/12346303_1074673212551420_1304194264696466064_n.jpg?oh=e477c6c8b48fefc86e419de0168e3a55&oe=571CEFF9	https://www.facebook.com/Laboratório-do-Filme-Etnográfico-Antropologia-Visual-1074670399218368/	facebook.com	2015-12-16T01:53:43+0000	1450230823	2015-12-16 02:53:43	4	4	0	0	0	0	0	0	4	1645390789044342_1650478751868879	https://www.facebook.com/groups/1645390789044342/permalink/1650478751868879/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	#Recicle  #Toy #InnovacionCiudadana				2015-12-16T01:28:07+0000	1450229287	2015-12-16 02:28:07	4	4	0	0	0	0	0	0	4	1645390789044342_1650475805202507	https://www.facebook.com/groups/1645390789044342/permalink/1650475805202507/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Meus irmãos e minhas irmãs!				2015-12-15T23:50:11+0000	1450223411	2015-12-16 00:50:11	10	10	0	0	0	0	0	0	10	1645390789044342_1650464045203683	https://www.facebook.com/groups/1645390789044342/permalink/1650464045203683/
link	43d83941173cf572912aae6fa0cacfa2cce9176b	dd8a3764099e682862a81c667512cb07eb0f206d	Les invito a dar la vuelta por el documento_ para incluir sus datos :) 	https://external.xx.fbcdn.net/safe_image.php?d=AQA1RU_uMiABjvy2&w=130&h=130&url=https%3A%2F%2Fssl.gstatic.com%2Fdocs%2Fspreadsheets%2Fspinner.gif&cfs=1	https://docs.google.com/spreadsheets/d/17LgIxpKbLos-7v5K5-4eekfg4RUeSa1Yh7PKutu2Fqs/edit#gid=0	docs.google.com	2015-12-15T22:07:47+0000	1450217267	2015-12-15 23:07:47	5	5	3	3	3	0	0	3	11	1645390789044342_1650444948538926	https://www.facebook.com/groups/1645390789044342/permalink/1650444948538926/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	Renato Fabbri made Thomaz Barbosa and 8 others admins of the group Labicbr paralelo.				2015-12-15T02:37:31+0000	1450147051	2015-12-15 03:37:31	1	1	6	6	4	2	0	1	8	1645390789044342_1650230241893730	https://www.facebook.com/groups/1645390789044342/permalink/1650230241893730/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8					2015-12-15T02:56:06+0000	1450148166	2015-12-15 03:56:06	10	10	0	0	0	0	0	0	10	1645390789044342_1650232888560132	https://www.facebook.com/groups/1645390789044342/permalink/1650232888560132/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Tamaluco_ Renato?				2015-12-15T02:40:54+0000	1450147254	2015-12-15 03:40:54	0	0	5	5	4	1	0	1	6	1645390789044342_1650230645227023	https://www.facebook.com/groups/1645390789044342/permalink/1650230645227023/
