day	posts	likes	comments	shares
2015-11-25	4	25	0	0
2015-11-26	4	25	6	0
2015-11-27	3	17	8	0
2015-11-28	0	0	0	0
2015-11-29	0	0	0	0
2015-11-30	5	69	23	1
2015-12-01	2	42	16	1
2015-12-02	14	140	55	2
2015-12-03	8	81	21	2
2015-12-04	7	123	4	8
2015-12-05	2	29	1	2
2015-12-06	2	26	17	1
2015-12-07	0	0	0	0
2015-12-08	6	78	31	0
2015-12-09	4	40	1	0
2015-12-10	3	26	2	1
2015-12-11	6	65	15	0
2015-12-12	0	0	0	0
2015-12-13	5	83	17	3
2015-12-14	6	57	5	2
2015-12-15	8	34	19	1
2015-12-16	8	43	2	1
2015-12-17	9	39	20	2
2015-12-18	4	24	5	0
2015-12-19	3	6	1	0
2015-12-20	1	0	0	0
