type	from_id	from_name	post_message	picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes	likes_count_fb	comments_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
status	cc07d5b7b925a8f45400b958fd8671f58f8a6830	edbfda392226cff9804a0e6afa51c3a19f9fc06a	A quem ainda está pelo Rio: hoje às 19h vamos fazer uma roda de conversa sobre inovação e transformação social com a presença da Njeri Chelimo_ do Quenia_ e da Geraldine de Bastion_ da Alemanha_ que coordena um grupo de inivadores sociais no eixo sul. Seria legal conectar com a galera do labic. O olabi fica na rua barão de lucena_ 85A_ botafogo. Um bj				2015-11-30T15:40:57+0000	1448898057	2015-11-30 16:40:57	6	6	2	2	2	0	1	4	13	1645390789044342_1646615612255193	https://www.facebook.com/groups/1645390789044342/permalink/1646615612255193/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	As ultimas 30 fotos do Labic. Talvez depois poste as outras.				2015-11-30T15:15:16+0000	1448896516	2015-11-30 16:15:16	6	6	1	1	1	0	1	0	8	1645390789044342_1646610282255726	https://www.facebook.com/groups/1645390789044342/permalink/1646610282255726/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Hackiando				2015-11-30T14:36:54+0000	1448894214	2015-11-30 15:36:54	9	9	0	0	0	0	0	0	9	1645390789044342_1646596842257070	https://www.facebook.com/groups/1645390789044342/permalink/1646596842257070/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	Estamos jah adentrando ao estado de spaulo_ eu e Guilherme _cravelho_ Lunhani. Bj p tds_ sdds jah				2015-11-29T23:12:13+0000	1448838733	2015-11-30 00:12:13	9	9	1	1	1	0	0	1	11	1645390789044342_1646424268940994	https://www.facebook.com/groups/1645390789044342/permalink/1646424268940994/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Ontem foi bom_ mas quero saber qual vai ser a piração de hoje!				2015-11-27T13:12:50+0000	1448629970	2015-11-27 14:12:50	5	5	2	2	2	0	0	4	11	1645390789044342_1645839165666171	https://www.facebook.com/groups/1645390789044342/permalink/1645839165666171/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Relikia das antiga! Só reconhece quem conhece! Hoje tem baile funk? Tem sim senhor. Quem é do Rio sabe o Poder do Funk!  Massa funkeira não me leve a mal! Vem com paz e amor curtir o festival!	https://external.xx.fbcdn.net/safe_image.php?d=AQDLHRgROfrageQM&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FwmU_NukSeD0%2Fhqdefault.jpg&cfs=1	https://youtu.be/wmU_NukSeD0	youtu.be	2015-11-27T16:20:56+0000	1448641256	2015-11-27 17:20:56	4	4	1	1	1	0	0	1	6	1645390789044342_1645872092329545	https://www.facebook.com/groups/1645390789044342/permalink/1645872092329545/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Agora vamos comprar 90 reais de cerveja e levar pra piscina. Pagode na laje!				2015-11-26T23:06:03+0000	1448579163	2015-11-27 00:06:03	8	8	5	5	5	0	0	4	17	1645390789044342_1645718342344920	https://www.facebook.com/groups/1645390789044342/permalink/1645718342344920/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Quem quer zuar hj curte like quem quer namorar Compartilhe!!!				2015-11-26T17:29:44+0000	1448558984	2015-11-26 18:29:44	13	13	5	5	3	2	0	0	18	1645390789044342_1645650862351668	https://www.facebook.com/groups/1645390789044342/permalink/1645650862351668/
photo	c155fd517c5e383f2e5abc1ede7026c5739a9f52	bf43a91ec82168ce42706542e4ed420ffc8daf23		https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-0/s130x130/12308421_10156185586670526_2601068803841189206_n.jpg?oh=bf574d29ca7bc463e6a4235539c89221&oe=56D85037	https://www.facebook.com/photo.php?fbid=10156185586670526&set=gm.1645701452346609&type=3	facebook.com	2015-11-26T20:54:03+0000	1448571243	2015-11-26 21:54:03	1	1	0	0	0	0	0	0	1	1645390789044342_1645701452346609	https://www.facebook.com/groups/1645390789044342/permalink/1645701452346609/
video	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Estoy enamorado en LABIC...	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDwxnhQWGcbhJxR&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2Fx1gH7wNFFPc%2Fhqdefault.jpg&cfs=1&sx=115&sy=0&sw=360&sh=360	https://youtu.be/x1gH7wNFFPc	youtu.be	2015-11-26T17:50:17+0000	1448560217	2015-11-26 18:50:17	8	8	0	0	0	0	0	0	8	1645390789044342_1645655475684540	https://www.facebook.com/groups/1645390789044342/permalink/1645655475684540/
link	f807a750edadc938c4a1705987f5e9c3ae6f2415	0c59c4aaa3e302de57d9d8bcd8f9be369e5fd20c	Tenho ingressos com descontos para participantes do LabicBR para o Show de Rock no Bar Rock Experience_ na Lapa. Serão 3 bandas: Piazzas_ BR 080_ Música Urbana. A BR080 é a banda de um amigo nosso de Brasília.  Quem quiser fale comigo na hora do almoço ou à tarde.  R$ 15_00 para participantes do LABIC que comprarem antes. (R$ 35_00 na hora)  Rua Riachuelo_ 20 - Lapa 	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAllqq-UXYYV-bR&w=130&h=130&url=http%3A%2F%2Frockexperience.com.br%2Frio%2Fwp-content%2Fuploads%2F2015%2F05%2FIcon-recortada.gif&cfs=1	http://rockexperience.com.br/rio/	rockexperience.com.br	2015-11-26T15:44:32+0000	1448552672	2015-11-26 16:44:32	3	3	1	1	1	0	0	0	4	1645390789044342_1645630139020407	https://www.facebook.com/groups/1645390789044342/permalink/1645630139020407/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	para todos adicionarem todos que lembrarem aqui para mentermos os contatos minimamente.				2015-11-25T19:45:42+0000	1448480742	2015-11-25 20:45:42	12	12	0	0	0	0	0	0	12	1645390789044342_1645391072377647	https://www.facebook.com/groups/1645390789044342/permalink/1645391072377647/
