post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
1645390789044342_1646615612255193	cc07d5b7b925a8f45400b958fd8671f58f8a6830	A quem ainda está pelo Rio: hoje às 19h vamos fazer uma roda de conversa sobre inovação e transformação social com a presença da Njeri Chelimo_ do Quenia_ e da Geraldine de Bastion_ da Alemanha_ que coordena um grupo de inivadores sociais no eixo sul. Seria legal conectar com a galera do labic. O olabi fica na rua barão de lucena_ 85A_ botafogo. Um bj	2015-11-30T15:40:57+0000	1646615742255180	c155fd517c5e383f2e5abc1ede7026c5739a9f52	0	Yo.	2015-11-30T15:41:49+0000	2
1645390789044342_1646615612255193	cc07d5b7b925a8f45400b958fd8671f58f8a6830	A quem ainda está pelo Rio: hoje às 19h vamos fazer uma roda de conversa sobre inovação e transformação social com a presença da Njeri Chelimo_ do Quenia_ e da Geraldine de Bastion_ da Alemanha_ que coordena um grupo de inivadores sociais no eixo sul. Seria legal conectar com a galera do labic. O olabi fica na rua barão de lucena_ 85A_ botafogo. Um bj	2015-11-30T15:40:57+0000	1646615778921843	a9ea7ca77d675f089d01f9085af25c00f0d23da7	0	Opa, que maneiro! Vou tentar chegar!	2015-11-30T15:42:12+0000	2
1645390789044342_1646610282255726	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	As ultimas 30 fotos do Labic. Talvez depois poste as outras.	2015-11-30T15:15:16+0000	1646610522255702	237cdcdf0c044003eedc242755e53f59a9112749	0	Ganhou um irmão aqui no rio... Eu!	2015-11-30T15:16:26+0000	0
1645390789044342_1646424268940994	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	Estamos jah adentrando ao estado de spaulo_ eu e Guilherme _cravelho_ Lunhani. Bj p tds_ sdds jah	2015-11-29T23:12:13+0000	1646434532273301	d4c565733335c33c04588440a9f4d0d81cf4e724	0	Saudade já ❤️	2015-11-30T00:19:52+0000	1
1645390789044342_1645839165666171	237cdcdf0c044003eedc242755e53f59a9112749	Ontem foi bom_ mas quero saber qual vai ser a piração de hoje!	2015-11-27T13:12:50+0000	1645881768995244	a9ea7ca77d675f089d01f9085af25c00f0d23da7	0	Opa, chama eu!	2015-11-27T17:07:24+0000	0
1645390789044342_1645839165666171	237cdcdf0c044003eedc242755e53f59a9112749	Ontem foi bom_ mas quero saber qual vai ser a piração de hoje!	2015-11-27T13:12:50+0000	1645890508994370	2a87382d948abc9e94bb28de6d7585a85dc42359	0		2015-11-27T17:54:54+0000	4
1645390789044342_1645872092329545	237cdcdf0c044003eedc242755e53f59a9112749	Relikia das antiga! Só reconhece quem conhece! Hoje tem baile funk? Tem sim senhor. Quem é do Rio sabe o Poder do Funk!  Massa funkeira não me leve a mal! Vem com paz e amor curtir o festival!	2015-11-27T16:20:56+0000	1645881942328560	3f1c697aa03b6dfd46eea133deb938fd9c8d2de4	0	Ouro!!!	2015-11-27T17:08:54+0000	1
1645390789044342_1645718342344920	237cdcdf0c044003eedc242755e53f59a9112749	Agora vamos comprar 90 reais de cerveja e levar pra piscina. Pagode na laje!	2015-11-26T23:06:03+0000	1645723222344432	3f1c697aa03b6dfd46eea133deb938fd9c8d2de4	0	Quero!	2015-11-26T23:43:34+0000	0
1645390789044342_1645718342344920	237cdcdf0c044003eedc242755e53f59a9112749	Agora vamos comprar 90 reais de cerveja e levar pra piscina. Pagode na laje!	2015-11-26T23:06:03+0000	1645723792344375	d52a2ca812c60e7084fb22fd9f80599178450a8c	0	SRSRRSRSRSRSRS	2015-11-26T23:49:59+0000	2
1645390789044342_1645718342344920	237cdcdf0c044003eedc242755e53f59a9112749	Agora vamos comprar 90 reais de cerveja e levar pra piscina. Pagode na laje!	2015-11-26T23:06:03+0000	1645723932344361	3f1c697aa03b6dfd46eea133deb938fd9c8d2de4	0	chega mais negô <3	2015-11-26T23:51:31+0000	1
